parameter,sensitivity,mean,q5,q95
asym,2,0.149394511,0.12574045,0.1743735
asym,3,0.227002149,0.19669315,0.2599793
asym,4,0.236056175,0.2086503,0.26631645
asym,5,0.249583144,0.21724575,0.28256984999999996
asym,6,0.272340573,0.24277805000000002,0.30435835
asym,7,0.341855555,0.30433544999999995,0.38183875
asym,8,0.331552057,0.30367375,0.3609522
asym,9,0.371728216,0.33597365,0.40642775
asym,10,0.384228909,0.36065435,0.4114212
asym,11,0.434622724,0.40475015,0.4652692
asym,12,0.459766409,0.43134495,0.4890579
asym,13,0.510952893,0.48003145,0.5416145
asym,14,0.502651915,0.46703934999999996,0.53898545
asym,15,0.589491618,0.5518194000000001,0.6276597500000001
asym,16,0.641238827,0.6018285,0.6772321
asym,17,0.64903191,0.6136908999999999,0.68424745
asym,18,0.739113021,0.7084524,0.7673382
asym,19,0.765505204,0.7309004499999999,0.7983097
asym,20,0.776153605,0.7466751999999999,0.80452525
asym,21,0.776339545,0.75162135,0.7999482
asym,22,0.788019028,0.7604031499999999,0.8131881
asym,23,0.824462347,0.8034007999999999,0.8447161
asym,24,0.806590142,0.7858374,0.8245605
asym,25,0.86392271,0.8453578500000001,0.8803135
asym,26,0.914013352,0.8985911999999999,0.9276332
asym,27,0.937121364,0.9236499,0.9481822
asym,28,0.939033163,0.9279947,0.94868745
asym,29,0.902730877,0.89564265,0.9094866
asym,30,0.950622294,0.94360245,0.9568018
asym,31,0.982006229,0.9773435,0.9857628
asym,32,0.987480525,0.9832044999999999,0.9903885000000001
asym,33,0.987371518,0.9823308000000001,0.99061725
asym,34,0.98732,0.9805658,0.9909347
asym,35,0.987512144,0.9802381,0.9912963499999999
